word	frequency
надоело	188
нога	188
целую	188
постойте	188
париже	188
странный	188
пойдемте	188
управление	188
самолёт	188
вспомнить	187
смей	187
цена	187
объясню	187
мамой	186
проверь	186
лучших	186
собаку	186
каждое	186
страну	186
сбежал	186
мамочка	186
службы	186
большим	186
плохая	186
чего-нибудь	186
куда-нибудь	185
полицейских	185
принял	185
забрал	185
армия	185
извиняюсь	185
любимый	185
пойдёт	185
летать	185
отношение	185
любимая	185
уильям	185
молли	185
свободен	184
пыталась	184
имеют	184
умирает	184
смысла	184
полная	184
зла	184
сошел	184
занимаюсь	184
мэгги	184
хрен	184
вселенной	184
кевин	184
любое	183
жива	183
подобного	183
написать	183
грудь	183
мужчиной	183
класса	183
приехать	183
понедельник	183
оставили	183
назвать	183
кучу	183
которому	183
урод	183
винсент	183
полицейские	182
выглядеть	182
закончится	182
братья	182
тревога	182
боли	182
немножко	182
аминь	182
штата	182
власть	182
жди	182
бар	182
выиграл	182
марта	182
пригласить	181
оказаться	181
устала	181
кровью	181
ищет	181
ранен	181
послать	181
