word	frequency
jääge	251
pagana	251
danny	251
haiglasse	250
selja	250
keset	250
tööl	250
noormees	250
tutvuda	250
isiklik	250
uudised	250
lased	250
alguses	250
vaatad	250
näitleja	249
kadus	249
hoidma	249
teilt	249
tommy	249
räägitakse	248
vajalik	248
äsja	248
võetud	248
admiral	248
abielu	248
igaveseks	248
jõudu	248
esmalt	247
häda	247
uusi	247
william	247
tegelen	247
proovime	247
riideid	247
siinsamas	247
thomas	247
monica	247
toit	246
külla	246
piiri	246
b	246
jimmy	246
tarvis	245
inimestele	245
arvas	245
teisiti	245
suren	245
justkui	245
fbi	244
sõja	244
temalt	244
siiapoole	244
teele	244
kombes	244
õpetaja	244
freddy	244
kennedy	243
vanglas	243
teaks	243
tähtsam	243
sõidan	243
kaitse	243
maga	243
valikut	243
raamatu	242
elavad	242
tütre	242
pakkuda	242
minagi	242
ted	242
järgmise	241
huvi	241
armastust	241
j	241
isale	241
sinule	241
lord	241
rahva	240
ajalugu	240
sure	240
walter	240
autoga	239
madam	239
tulete	239
selgitada	239
võimu	238
tapeti	238
liigutage	238
kohtu	238
kingitus	238
mõtlesid	238
kannab	238
seltsimees	238
oskab	238
plaanid	238
vee	237
kohtuma	237
teade	236
otsid	236
oledki	236
jätkake	236
plaanis	236
tõbras	235
korraga	235
igav	235
meeldinud	235
kaart	235
kõrini	235
tooma	234
magab	234
kuuli	233
arvanud	233
pidime	233
jätkata	233
maas	233
robert	233
kirjutan	233
pistmist	233
otsida	233
lugenud	233
küllap	232
tähtsust	232
helistab	232
otsib	232
väikesed	232
tänud	232
kujuta	231
küsis	231
ilusad	231
lugesin	230
autost	230
asjast	230
hävitada	230
lubasid	230
sellisel	230
hiina	230
kohtunik	230
inimestega	230
küljest	229
viimased	229
naeruväärne	229
veab	229
akna	229
infot	228
saatke	228
omavahel	228
poissi	228
esimesel	228
nõu	228
astuge	228
palli	228
unustada	227
juhtum	227
oleksite	227
vennad	227
viime	227
jõudma	227
hämmastav	227
lööb	227
vau	227
sitta	227
vene	226
jalg	226
tõestada	226
hirmu	226
silmi	226
osas	226
jagu	226
räpane	226
kõht	226
rääkisime	226
põgeneda	226
asjaga	225
üldsegi	225
vennas	225
kuulus	225
mängime	225
hüppa	225
vägev	225
cooper	225
kutsuge	224
olengi	224
kõikjal	224
jube	224
ütlete	224
õieti	224
võimeline	224
valida	224
seisab	223
saatus	223
istub	223
keelatud	223
toime	223
millise	223
eelmine	223
nuga	223
sõpra	223
muutus	222
helistasin	222
mõtleb	222
omal	222
pikka	221
korter	221
sõitma	221
millele	221
meeldid	221
vaeva	221
plaani	221
sobi	221
politseisse	221
miljon	221
ennem	221
tulemas	220
daam	220
muretsema	220
tantsida	220
teineteist	220
raamatut	220
miljoni	220
muusikat	220
mäletate	219
elas	219
riigi	219
probleemid	219
otsekohe	219
lasin	219
helistama	219
klassi	219
lasknud	219
valgus	219
elame	218
kohanud	218
ela	218
lootsin	218
valik	218
ligi	217
töötada	217
kontrollida	217
küsima	217
puudu	217
püüdsin	217
saladus	216
pilti	216
km	216
mõtlete	216
paluda	216
suletud	216
avatud	215
m	215
naiste	215
isaga	215
marty	215
sonny	215
juhib	214
sõitis	214
kirjutatud	214
jätnud	214
tasu	214
dollari	214
avada	214
liikuma	214
surnuks	214
töötad	214
kaduge	214
kindlalt	214
vast	214
vali	214
tuju	214
libu	214
tehakse	213
reisi	213
paika	213
jõudis	213
vanamees	213
harjunud	213
päralt	213
carl	213
alice	213
persevest	213
juhtida	212
kenasti	212
kohus	212
otsustasin	211
toimus	211
kindlaks	211
saaksite	211
loen	211
asjadest	211
albert	211
põrgusse	211
minus	210
abil	210
niigi	210
buzz	210
lubas	209
vanem	209
kallale	209
lahkub	209
sured	209
vot	209
avage	209
jätma	209
öeldi	208
kauem	208
võtavad	208
sündinud	208
kraam	208
tuttav	208
presidendi	207
käskis	207
al	207
suremas	207
aknast	207
kõigist	207
lõpus	207
mängid	207
jooksis	206
lennuki	206
tänada	206
käivad	206
suures	206
teeksin	206
hõivatud	206
niipea	206
sõidab	206
yorki	206
armastuse	206
kana	206
segada	205
teises	205
käin	205
ootasin	205
ettevaatlikult	205
lendab	205
puudub	205
soovitan	205
väljaspool	204
päevad	204
le	204
õppima	204
tonni	204
kandis	204
vedas	204
vastust	204
igas	203
haiglas	203
kuulama	203
soov	203
tüli	203
tänatud	203
nagunii	203
sarah	203
emaga	203
millist	202
käisid	202
istet	202
lood	202
osav	202
hakkasid	202
hiljuti	202
